------------------------------------------------------------
 solve prev v1=-0.5 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Electron Concentration (/cm3)
       205.707409633,    1.07610007189e+16
       206.044082971,     1.0760131877e+16
       206.380756309,    1.07592562374e+16
       206.717429648,    1.07583805977e+16
       207.054102986,    1.07574981093e+16
       207.390776324,    1.07566156208e+16
       207.727449662,    1.07557262321e+16
          208.064123,    1.07548368434e+16
       208.400796339,    1.07539405027e+16
       208.737469677,    1.07530441619e+16
       209.074143015,     1.0752140817e+16
       209.410816353,     1.0751237472e+16
       209.747489691,    1.07503270703e+16
        210.08416303,    1.07494166686e+16
       210.420836368,    1.07484991573e+16
       210.757509706,    1.07475816459e+16
       211.094183044,    1.07466569717e+16
       211.430856382,    1.07457322975e+16
        211.76752972,    1.07448004068e+16
       212.104203059,     1.0743868516e+16
       212.440876397,    1.07429293547e+16
       212.777549735,    1.07419901935e+16
       213.114223073,    1.07410437073e+16
       213.450896411,    1.07400972211e+16
        213.78756975,    1.07391433552e+16
       214.124243088,    1.07381894894e+16
       214.460916426,    1.07372281887e+16
       214.797589764,    1.07362668881e+16
       215.134263102,    1.07352980971e+16
       215.470936441,    1.07343293062e+16
       215.807609779,     1.0733352969e+16
       216.144283117,    1.07323766319e+16
       216.480956455,    1.07313926923e+16
       216.817629793,    1.07304087526e+16
       217.154303131,    1.07294171539e+16
        217.49097647,    1.07284255551e+16
       217.827649808,    1.07274262402e+16
       218.164323146,    1.07264269253e+16
       218.500996484,    1.07254198367e+16
       218.837669822,    1.07244127482e+16
       219.174343161,    1.07233978282e+16
       219.511016499,    1.07223829082e+16
       219.847689837,    1.07213600986e+16
       220.184363175,     1.0720337289e+16
       220.521036513,    1.07193065311e+16
       220.857709852,    1.07182757732e+16
        221.19438319,    1.07172370081e+16
       221.531056528,     1.0716198243e+16
       221.867729866,    1.07151514112e+16
       222.204403204,    1.07141045794e+16
       222.541076542,    1.07130496211e+16
