------------------------------------------------------------
 solve prev v1=1 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Total Current (A)
       70.0280543432,        64.4662680992
       70.3647276814,        64.4662680992
       70.7014010195,        64.4662680992
       71.0380743577,        64.4662680992
       71.3747476959,        64.4662680992
       71.7114210341,        64.4662680992
       72.0480943723,        64.4662680992
       72.3847677105,        64.4662680992
       72.7214410487,        64.4662680992
       73.0581143869,        64.4662680992
        73.394787725,        64.4662680992
       73.7314610632,        64.4662680992
       74.0681344014,        64.4662680992
       74.4048077396,        64.4662680992
       74.7414810778,        64.4662680992
        75.078154416,        64.4662680992
       75.4148277542,        64.4662680992
       75.7515010924,        64.4662680992
       76.0881744306,        64.4662680992
       76.4248477687,        64.4662680992
       76.7615211069,        64.4662680992
       77.0981944451,        64.4662680992
       77.4348677833,        64.4662680992
       77.7715411215,        64.4662680992
       78.1082144597,        64.4662680992
       78.4448877979,        64.4662680992
       78.7815611361,        64.4662680992
       79.1182344743,        64.4662680992
       79.4549078124,        64.4662680992
       79.7915811506,        64.4662680992
       80.1282544888,        64.4662680992
        80.464927827,        64.4662680992
       80.8016011652,        64.4662680992
       81.1382745034,        64.4662680992
       81.4749478416,        64.4662680992
       81.8116211798,        64.4662680992
       82.1482945179,        64.4662680992
       82.4849678561,        64.4662680992
       82.8216411943,        64.4662680992
       83.1583145325,        64.4662680992
       83.4949878707,        64.4662680992
       83.8316612089,        64.4662680992
       84.1683345471,        64.4662680992
       84.5050078853,        64.4662680992
       84.8416812235,        64.4662680992
       85.1783545616,        64.4662680992
       85.5150278998,        64.4662680992
        85.851701238,        64.4662680992
       86.1883745762,        64.4662680992
       86.5250479144,        64.4662680992
       86.8617212526,        64.4662680992
       87.1983945908,        64.4662680992
        87.535067929,        64.4662680992
       87.8717412671,        64.4662680992
       88.2084146053,        64.4662680992
       88.5450879435,        64.4662680992
       88.8817612817,        64.4662680992
       89.2184346199,        64.4662680992
       89.5551079581,        64.4662680992
       89.8917812963,        64.4662680992
       90.2284546345,        64.4662680992
       90.5651279727,        64.4662680992
       90.9018013108,        64.4662680992
        91.238474649,        64.4662680992
       91.5751479872,        64.4662680992
       91.9118213254,        64.4662680992
       92.2484946636,        64.4662680992
       92.5851680018,        64.4662680992
         92.92184134,        64.4662680992
       93.2585146782,        64.4662680992
       93.5951880163,        64.4662680992
       93.9318613545,        64.4662680992
       94.2685346927,        64.4662680992
       94.6052080309,        64.4662680992
       94.9418813691,        64.4662680992
       95.2785547073,        64.4662680992
       95.6152280455,        64.4662680992
       95.9519013837,        64.4662680992
       96.2885747219,        64.4662680992
         96.62524806,        64.4662680992
       96.9619213982,        64.4662680992
       97.2985947364,        64.4662680992
       97.6352680746,        64.4662680992
       97.9719414128,        64.4662680992
        98.308614751,        64.4662680992
       98.6452880892,        64.4662680992
       98.9819614274,        64.4662680992
       99.3186347655,        64.4662680992
       99.6553081037,        64.4662680992
       99.9919814419,        64.4662680992
