------------------------------------------------------------
 solve prev v1=0.5 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Total Current (A)
       125.242481806,        32.7434474018
       125.579155144,        32.7434474018
       125.915828482,        32.7434474018
       126.252501821,        32.7434474018
       126.589175159,        32.7434474018
       126.925848497,        32.7434474018
       127.262521835,        32.7434474018
       127.599195173,        32.7434474018
       127.935868512,        32.7434474018
        128.27254185,        32.7434474018
       128.609215188,        32.7434474018
       128.945888526,        32.7434474018
       129.282561864,        32.7434474018
       129.619235202,        32.7434474018
       129.955908541,        32.7434474018
       130.292581879,        32.7434474018
       130.629255217,        32.7434474018
       130.965928555,        32.7434474018
       131.302601893,        32.7434474018
       131.639275232,        32.7434474018
        131.97594857,        32.7434474018
       132.312621908,        32.7434474018
       132.649295246,        32.7434474018
       132.985968584,        32.7434474018
       133.322641923,        32.7434474018
       133.659315261,        32.7434474018
       133.995988599,        32.7434474018
       134.332661937,        32.7434474018
       134.669335275,        32.7434474018
       135.006008614,        32.7434474018
       135.342681952,        32.7434474018
        135.67935529,        32.7434474018
       136.016028628,        32.7434474018
       136.352701966,        32.7434474018
       136.689375304,        32.7434474018
       137.026048643,        32.7434474018
       137.362721981,        32.7434474018
       137.699395319,        32.7434474018
       138.036068657,        32.7434474018
       138.372741995,        32.7434474018
       138.709415334,        32.7434474018
       139.046088672,        32.7434474018
        139.38276201,        32.7434474018
       139.719435348,        32.7434474018
       140.056108686,        32.7434474018
       140.392782025,        32.7434474018
       140.729455363,        32.7434474018
       141.066128701,        32.7434474018
       141.402802039,        32.7434474018
       141.739475377,        32.7434474018
       142.076148715,        32.7434474018
       142.412822054,        32.7434474018
       142.749495392,        32.7434474018
        143.08616873,        32.7434474018
       143.422842068,        32.7434474018
       143.759515406,        32.7434474018
       144.096188745,        32.7434474018
       144.432862083,        32.7434474018
       144.769535421,        32.7434474018
       145.106208759,        32.7434474018
       145.442882097,        32.7434474018
       145.779555436,        32.7434474018
       146.116228774,        32.7434474018
       146.452902112,        32.7434474018
        146.78957545,        32.7434474018
       147.126248788,        32.7434474018
       147.462922126,        32.7434474018
       147.799595465,        32.7434474018
       148.136268803,        32.7434474018
       148.472942141,        32.7434474018
       148.809615479,        32.7434474018
       149.146288817,        32.7434474018
       149.482962156,        32.7434474018
       149.819635494,        32.7434474018
       150.156308832,        32.7434474018
        150.49298217,        32.7434474018
       150.829655508,        32.7434474018
       151.166328847,        32.7434474018
       151.503002185,        32.7434474018
       151.839675523,        32.7434474018
       152.176348861,        32.7434474018
       152.513022199,        32.7434474018
       152.849695537,        32.7434474018
       153.186368876,        32.7434474018
       153.523042214,        32.7434474018
       153.859715552,        32.7434474018
        154.19638889,        32.7434474018
       154.533062228,        32.7434474018
       154.869735567,        32.7434474018
       155.206408905,        32.7434474018
       155.543082243,        32.7434474018
       155.879755581,        32.7434474018
       156.216428919,        32.7434474018
       156.553102258,        32.7434474018
       156.889775596,        32.7434474018
       157.226448934,        32.7434474018
       157.563122272,        32.7434474018
        157.89979561,        32.7434474018
       158.236468949,        32.7434474018
       158.573142287,        32.7434474018
       158.909815625,        32.7434474018
       159.246488963,        32.7434474018
       159.583162301,        32.7434474018
       159.919835639,        32.7434474018
       160.256508978,        32.7434474018
       160.593182316,        32.7434474018
       160.929855654,        32.7434474018
       161.266528992,        32.7434474018
        161.60320233,        32.7434474018
       161.939875669,        32.7434474018
       162.276549007,        32.7434474018
       162.613222345,        32.7434474018
       162.949895683,        32.7434474018
       163.286569021,        32.7434474018
        163.62324236,        32.7434474018
       163.959915698,        32.7434474018
       164.296589036,        32.7434474018
       164.633262374,        32.7434474018
       164.969935712,        32.7434474018
        165.30660905,        32.7434474018
       165.643282389,        32.7434474018
       165.979955727,        32.7434474018
       166.316629065,        32.7434474018
       166.653302403,        32.7434474018
       166.989975741,        32.7434474018
        167.32664908,        32.7434474018
       167.663322418,        32.7434474018
       167.999995756,        32.7434474018
       168.336669094,        32.7434474018
       168.673342432,        32.7434474018
       169.010015771,        32.7434474018
       169.346689109,        32.7434474018
       169.683362447,        32.7434474018
       170.020035785,        32.7434474018
       170.356709123,        32.7434474018
       170.693382461,        32.7434474018
         171.0300558,        32.7434474018
       171.366729138,        32.7434474018
       171.703402476,        32.7434474018
       172.040075814,        32.7434474018
       172.376749152,        32.7434474018
       172.713422491,        32.7434474018
       173.050095829,        32.7434474018
       173.386769167,        32.7434474018
       173.723442505,        32.7434474018
       174.060115843,        32.7434474018
       174.396789182,        32.7434474018
        174.73346252,        32.7434474018
       175.070135858,        32.7434474018
       175.406809196,        32.7434474018
       175.743482534,        32.7434474018
       176.080155872,        32.7434474018
       176.416829211,        32.7434474018
       176.753502549,        32.7434474018
       177.090175887,        32.7434474018
       177.426849225,        32.7434474018
       177.763522563,        32.7434474018
       178.100195902,        32.7434474018
        178.43686924,        32.7434474018
       178.773542578,        32.7434474018
       179.110215916,        32.7434474018
       179.446889254,        32.7434474018
       179.783562593,        32.7434474018
       180.120235931,        32.7434474018
       180.456909269,        32.7434474018
       180.793582607,        32.7434474018
       181.130255945,        32.7434474018
       181.466929283,        32.7434474018
       181.803602622,        32.7434474018
        182.14027596,        32.7434474018
       182.476949298,        32.7434474018
       182.813622636,        32.7434474018
       183.150295974,        32.7434474018
       183.486969313,        32.7434474018
       183.823642651,        32.7434474018
       184.160315989,        32.7434474018
       184.496989327,        32.7434474018
       184.833662665,        32.7434474018
       185.170336004,        32.7434474018
       185.507009342,        32.7434474018
        185.84368268,        32.7434474018
       186.180356018,        32.7434474018
       186.517029356,        32.7434474018
       186.853702695,        32.7434474018
       187.190376033,        32.7434474018
       187.527049371,        32.7434474018
       187.863722709,        32.7434474018
       188.200396047,        32.7434474018
       188.537069385,        32.7434474018
       188.873742724,        32.7434474018
       189.210416062,        32.7434474018
         189.5470894,        32.7434474018
       189.883762738,        32.7434474018
       190.220436076,        32.7434474018
       190.557109415,        32.7434474018
       190.893782753,        32.7434474018
       191.230456091,        32.7434474018
       191.567129429,        32.7434474018
       191.903802767,        32.7434474018
       192.240476106,        32.7434474018
       192.577149444,        32.7434474018
       192.913822782,        32.7434474018
        193.25049612,        32.7434474018
       193.587169458,        32.7434474018
       193.923842796,        32.7434474018
       194.260516135,        32.7434474018
       194.597189473,        32.7434474018
       194.933862811,        32.7434474018
       195.270536149,        32.7434474018
       195.607209487,        32.7434474018
       195.943882826,        32.7434474018
       196.280556164,        32.7434474018
       196.617229502,        32.7434474018
        196.95390284,        32.7434474018
       197.290576178,        32.7434474018
       197.627249517,        32.7434474018
       197.963922855,        32.7434474018
       198.300596193,        32.7434474018
       198.637269531,        32.7434474018
       198.973942869,        32.7434474018
       199.310616207,        32.7434474018
       199.647289546,        32.7434474018
       199.983962884,        32.7434474018
       200.320636222,        32.7434474018
        200.65730956,        32.7434474018
       200.993982898,        32.7434474018
       201.330656237,        32.7434474018
       201.667329575,        32.7434474018
       202.004002913,        32.7434474018
       202.340676251,        32.7434474018
       202.677349589,        32.7434474018
       203.014022928,        32.7434474018
       203.350696266,        32.7434474018
       203.687369604,        32.7434474018
       204.024042942,        32.7434474018
        204.36071628,        32.7434474018
       204.697389618,        32.7434474018
       205.034062957,        32.7434474018
       205.370736295,        32.7434474018
       205.707409633,        32.7434474018
       206.044082971,        32.7434474018
       206.380756309,        32.7434474018
       206.717429648,        32.7434474018
       207.054102986,        32.7434474018
       207.390776324,        32.7434474018
       207.727449662,        32.7434474018
          208.064123,        32.7434474018
       208.400796339,        32.7434474018
       208.737469677,        32.7434474018
       209.074143015,        32.7434474018
       209.410816353,        32.7434474018
       209.747489691,        32.7434474018
        210.08416303,        32.7434474018
       210.420836368,        32.7434474018
       210.757509706,        32.7434474018
       211.094183044,        32.7434474018
       211.430856382,        32.7434474018
        211.76752972,        32.7434474018
       212.104203059,        32.7434474018
       212.440876397,        32.7434474018
       212.777549735,        32.7434474018
       213.114223073,        32.7434474018
       213.450896411,        32.7434474018
        213.78756975,        32.7434474018
       214.124243088,        32.7434474018
       214.460916426,        32.7434474018
       214.797589764,        32.7434474018
       215.134263102,        32.7434474018
       215.470936441,        32.7434474018
       215.807609779,        32.7434474018
       216.144283117,        32.7434474018
       216.480956455,        32.7434474018
       216.817629793,        32.7434474018
       217.154303131,        32.7434474018
        217.49097647,        32.7434474018
       217.827649808,        32.7434474018
       218.164323146,        32.7434474018
       218.500996484,        32.7434474018
       218.837669822,        32.7434474018
       219.174343161,        32.7434474018
       219.511016499,        32.7434474018
       219.847689837,        32.7434474018
       220.184363175,        32.7434474018
       220.521036513,        32.7434474018
       220.857709852,        32.7434474018
        221.19438319,        32.7434474018
       221.531056528,        32.7434474018
       221.867729866,        32.7434474018
       222.204403204,        32.7434474018
       222.541076542,        32.7434474018
       222.877749881,        32.7434474018
       223.214423219,        32.7434474018
       223.551096557,        32.7434474018
       223.887769895,        32.7434474018
       224.224443233,        32.7434474018
       224.561116572,        32.7434474018
        224.89778991,        32.7434474018
       225.234463248,        32.7434474018
       225.571136586,        32.7434474018
       225.907809924,        32.7434474018
       226.244483263,        32.7434474018
       226.581156601,        32.7434474018
       226.917829939,        32.7434474018
       227.254503277,        32.7434474018
       227.591176615,        32.7434474018
       227.927849953,        32.7434474018
       228.264523292,        32.7434474018
        228.60119663,        32.7434474018
       228.937869968,        32.7434474018
       229.274543306,        32.7434474018
       229.611216644,        32.7434474018
       229.947889983,        32.7434474018
       230.284563321,        32.7434474018
       230.621236659,        32.7434474018
       230.957909997,        32.7434474018
       231.294583335,        32.7434474018
       231.631256674,        32.7434474018
       231.967930012,        32.7434474018
        232.30460335,        32.7434474018
       232.641276688,        32.7434474018
       232.977950026,        32.7434474018
       233.314623364,        32.7434474018
       233.651296703,        32.7434474018
       233.987970041,        32.7434474018
       234.324643379,        32.7434474018
       234.661316717,        32.7434474018
       234.997990055,        32.7434474018
       235.334663394,        32.7434474018
       235.671336732,        32.7434474018
        236.00801007,        32.7434474018
       236.344683408,        32.7434474018
       236.681356746,        32.7434474018
       237.018030085,        32.7434474018
       237.354703423,        32.7434474018
       237.691376761,        32.7434474018
       238.028050099,        32.7434474018
       238.364723437,        32.7434474018
       238.701396776,        32.7434474018
       239.038070114,        32.7434474018
       239.374743452,        32.7434474018
        239.71141679,        32.7434474018
       240.048090128,        32.7434474018
       240.384763466,        32.7434474018
       240.721436805,        32.7434474018
       241.058110143,        32.7434474018
       241.394783481,        32.7434474018
       241.731456819,        32.7434474018
       242.068130157,        32.7434474018
       242.404803496,        32.7434474018
       242.741476834,        32.7434474018
       243.078150172,        32.7434474018
        243.41482351,        32.7434474018
       243.751496848,        32.7434474018
       244.088170187,        32.7434474018
       244.424843525,        32.7434474018
       244.761516863,        32.7434474018
       245.098190201,        32.7434474018
       245.434863539,        32.7434474018
       245.771536877,        32.7434474018
       246.108210216,        32.7434474018
       246.444883554,        32.7434474018
       246.781556892,        32.7434474018
        247.11823023,        32.7434474018
       247.454903568,        32.7434474018
       247.791576907,        32.7434474018
       248.128250245,        32.7434474018
       248.464923583,        32.7434474018
       248.801596921,        32.7434474018
       249.138270259,        32.7434474018
       249.474943598,        32.7434474018
       249.811616936,        32.7434474018
       250.148290274,        32.7434474018
       250.484963612,        32.7434474018
        250.82163695,        32.7434474018
       251.158310288,        32.7434474018
       251.494983627,        32.7434474018
       251.831656965,        32.7434474018
       252.168330303,        32.7434474018
       252.505003641,        32.7434474018
       252.841676979,        32.7434474018
