------------------------------------------------------------
 solve prev v1=-1 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Electron Concentration (/cm3)
       206.717429648,    1.05560891067e+16
       207.054102986,    1.05551296629e+16
       207.390776324,    1.05541702191e+16
       207.727449662,    1.05532066906e+16
          208.064123,    1.05522431621e+16
       208.400796339,    1.05512755339e+16
       208.737469677,    1.05503079056e+16
       209.074143015,    1.05493361625e+16
       209.410816353,    1.05483644194e+16
       209.747489691,    1.05473885463e+16
        210.08416303,    1.05464126732e+16
       210.420836368,    1.05454326549e+16
       210.757509706,    1.05444526367e+16
       211.094183044,     1.0543468458e+16
       211.430856382,    1.05424842793e+16
        211.76752972,     1.0541495925e+16
       212.104203059,    1.05405075708e+16
       212.440876397,    1.05395150256e+16
       212.777549735,    1.05385224804e+16
       213.114223073,     1.0537525729e+16
       213.450896411,    1.05365289776e+16
        213.78756975,    1.05355280047e+16
       214.124243088,    1.05345270317e+16
       214.460916426,    1.05335218219e+16
       214.797589764,     1.0532516612e+16
       215.134263102,    1.05315071498e+16
       215.470936441,    1.05304976876e+16
       215.807609779,    1.05294839576e+16
       216.144283117,    1.05284702276e+16
       216.480956455,    1.05274522144e+16
       216.817629793,    1.05264342012e+16
       217.154303131,    1.05254118892e+16
        217.49097647,    1.05243895772e+16
       217.827649808,    1.05233629509e+16
       218.164323146,    1.05223363246e+16
       218.500996484,    1.05213053684e+16
       218.837669822,    1.05202744123e+16
       219.174343161,    1.05192391106e+16
       219.511016499,     1.0518203809e+16
       219.847689837,    1.05171641462e+16
       220.184363175,    1.05161244835e+16
       220.521036513,    1.05150804439e+16
       220.857709852,    1.05140364044e+16
        221.19438319,    1.05129879724e+16
       221.531056528,    1.05119395403e+16
       221.867729866,    1.05108867001e+16
       222.204403204,    1.05098338598e+16
       222.541076542,    1.05087765956e+16
       222.877749881,    1.05077193314e+16
       223.214423219,    1.05066576274e+16
       223.551096557,    1.05055959234e+16
       223.887769895,    1.05045297638e+16
       224.224443233,    1.05034636042e+16
       224.561116572,    1.05023929731e+16
        224.89778991,     1.0501322342e+16
       225.234463248,    1.05002472236e+16
       225.571136586,    1.04991721052e+16
       225.907809924,    1.04980924836e+16
       226.244483263,    1.04970128619e+16
       226.581156601,     1.0495928721e+16
       226.917829939,    1.04948445801e+16
       227.254503277,    1.04937559041e+16
       227.591176615,     1.0492667228e+16
       227.927849953,    1.04915740007e+16
       228.264523292,    1.04904807734e+16
        228.60119663,    1.04893829789e+16
       228.937869968,    1.04882851844e+16
       229.274543306,    1.04871828066e+16
       229.611216644,    1.04860804288e+16
       229.947889983,    1.04849734516e+16
       230.284563321,    1.04838664744e+16
       230.621236659,    1.04827548817e+16
       230.957909997,    1.04816432889e+16
       231.294583335,    1.04805270645e+16
       231.631256674,    1.04794108401e+16
       231.967930012,    1.04782899679e+16
        232.30460335,    1.04771690956e+16
       232.641276688,    1.04760435593e+16
       232.977950026,    1.04749180229e+16
       233.314623364,    1.04737878063e+16
       233.651296703,    1.04726575896e+16
       233.987970041,    1.04715226764e+16
       234.324643379,    1.04703877632e+16
       234.661316717,    1.04692481371e+16
       234.997990055,     1.0468108511e+16
       235.334663394,    1.04669641557e+16
       235.671336732,    1.04658198004e+16
        236.00801007,    1.04646706996e+16
       236.344683408,    1.04635215988e+16
       236.681356746,     1.0462367736e+16
       237.018030085,    1.04612138733e+16
       237.354703423,    1.04600552322e+16
       237.691376761,    1.04588965911e+16
       238.028050099,    1.04577331553e+16
       238.364723437,    1.04565697195e+16
       238.701396776,    1.04554014725e+16
       239.038070114,    1.04542332254e+16
       239.374743452,    1.04530601507e+16
        239.71141679,     1.0451887076e+16
       240.048090128,    1.04507091571e+16
       240.384763466,    1.04495312382e+16
       240.721436805,    1.04483484586e+16
       241.058110143,    1.04471656789e+16
       241.394783481,     1.0445978022e+16
       241.731456819,    1.04447903651e+16
       242.068130157,    1.04435978143e+16
       242.404803496,    1.04424052635e+16
       242.741476834,    1.04412078022e+16
       243.078150172,     1.0440010341e+16
        243.41482351,    1.04388079526e+16
       243.751496848,    1.04376055642e+16
       244.088170187,    1.04363982321e+16
       244.424843525,       1.04351909e+16
       244.761516863,    1.04339786074e+16
       245.098190201,    1.04327663148e+16
