------------------------------------------------------------
 solve prev gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Electron Concentration (/cm3)
       169.683362447,    1.09584403689e+16
       170.020035785,    1.09584299468e+16
       170.356709123,    1.09584195248e+16
       170.693382461,    1.09584056235e+16
         171.0300558,    1.09583917223e+16
       171.366729138,    1.09583743374e+16
       171.703402476,    1.09583569525e+16
       172.040075814,    1.09583360785e+16
       172.376749152,    1.09583152045e+16
       172.713422491,    1.09582908346e+16
       173.050095829,    1.09582664648e+16
       173.386769167,    1.09582385914e+16
       173.723442505,     1.0958210718e+16
       174.060115843,    1.09581793321e+16
       174.396789182,    1.09581479462e+16
        174.73346252,    1.09581130379e+16
       175.070135858,    1.09580781296e+16
       175.406809196,    1.09580396877e+16
       175.743482534,    1.09580012457e+16
       176.080155872,     1.0957959258e+16
       176.416829211,    1.09579172702e+16
       176.753502549,    1.09578717232e+16
       177.090175887,    1.09578261762e+16
       177.426849225,    1.09577770555e+16
       177.763522563,    1.09577279348e+16
       178.100195902,    1.09576752247e+16
        178.43686924,    1.09576225145e+16
       178.773542578,    1.09575661982e+16
       179.110215916,    1.09575098819e+16
       179.446889254,    1.09574499414e+16
       179.783562593,    1.09573900009e+16
       180.120235931,    1.09573264172e+16
       180.456909269,    1.09572628334e+16
       180.793582607,    1.09571955861e+16
       181.130255945,    1.09571283389e+16
       181.466929283,    1.09570574066e+16
       181.803602622,    1.09569864744e+16
        182.14027596,    1.09569118345e+16
       182.476949298,    1.09568371947e+16
       182.813622636,    1.09567588235e+16
       183.150295974,    1.09566804522e+16
       183.486969313,    1.09565983246e+16
       183.823642651,    1.09565161971e+16
       184.160315989,    1.09564302869e+16
       184.496989327,    1.09563443767e+16
       184.833662665,    1.09562546566e+16
       185.170336004,    1.09561649365e+16
       185.507009342,    1.09560713778e+16
        185.84368268,    1.09559778191e+16
       186.180356018,     1.0955880392e+16
       186.517029356,    1.09557829649e+16
       186.853702695,    1.09556816383e+16
       187.190376033,    1.09555803117e+16
       187.527049371,    1.09554750533e+16
       187.863722709,    1.09553697949e+16
       188.200396047,    1.09552605711e+16
       188.537069385,    1.09551513473e+16
       188.873742724,    1.09550381233e+16
       189.210416062,    1.09549248993e+16
         189.5470894,    1.09548076389e+16
       189.883762738,    1.09546903785e+16
       190.220436076,    1.09545690444e+16
       190.557109415,    1.09544477103e+16
       190.893782753,    1.09543222636e+16
       191.230456091,     1.0954196817e+16
       191.567129429,    1.09540672179e+16
       191.903802767,    1.09539376188e+16
       192.240476106,    1.09538038257e+16
       192.577149444,    1.09536700327e+16
       192.913822782,    1.09535320031e+16
