------------------------------------------------------------
 solve vstep=0.1 nsteps=5 elect=1
------------------------------------------------------------
Position (um), Valence Band Potential (eV)
       55.2144274629,       -1.32919467136
       55.5511008011,       -1.32869366935
       55.8877741393,       -1.32819266735
       56.2244474774,       -1.32769166535
       56.5611208156,       -1.32719066334
       56.8977941538,       -1.32668966134
        57.234467492,       -1.32618865933
       57.5711408302,       -1.32568765733
       57.9078141684,       -1.32518665533
       58.2444875066,       -1.32468565332
       58.5811608448,       -1.32418465132
        58.917834183,       -1.32368364931
       59.2545075211,       -1.32318264731
       59.5911808593,       -1.32268164531
       59.9278541975,        -1.3221806433
       60.2645275357,        -1.3216796413
       60.6012008739,       -1.32117863929
       60.9378742121,       -1.32067763729
       61.2745475503,       -1.32017663529
       61.6112208885,       -1.31967563328
       61.9478942266,       -1.31917463128
       62.2845675648,       -1.31867362927
        62.621240903,       -1.31817262727
       62.9579142412,       -1.31767162527
       63.2945875794,       -1.31717062326
       63.6312609176,       -1.31666962126
       63.9679342558,       -1.31616861925
        64.304607594,       -1.31566761725
       64.6412809322,       -1.31516661525
       64.9779542703,       -1.31466561324
       65.3146276085,       -1.31416461124
       65.6513009467,       -1.31366360923
       65.9879742849,       -1.31316260723
       66.3246476231,       -1.31266160523
       66.6613209613,       -1.31216060322
       66.9979942995,       -1.31165960122
       67.3346676377,       -1.31115859921
       67.6713409758,       -1.31065759721
        68.008014314,       -1.31015659521
       68.3446876522,        -1.3096555932
       68.6813609904,        -1.3091545912
       69.0180343286,       -1.30865358919
       69.3547076668,       -1.30815258719
        69.691381005,       -1.30765158519
       70.0280543432,       -1.30715058318
       70.3647276814,       -1.30664958118
       70.7014010195,       -1.30614857917
       71.0380743577,       -1.30564757717
       71.3747476959,       -1.30514657517
       71.7114210341,       -1.30464557316
       72.0480943723,       -1.30414457116
       72.3847677105,       -1.30364356915
       72.7214410487,       -1.30314256715
       73.0581143869,       -1.30264156515
        73.394787725,       -1.30214056314
       73.7314610632,       -1.30163956114
       74.0681344014,       -1.30113855913
       74.4048077396,       -1.30063755713
       74.7414810778,       -1.30013655513
        75.078154416,       -1.29963555312
       75.4148277542,       -1.29913455112
       75.7515010924,       -1.29863354911
       76.0881744306,       -1.29813254711
       76.4248477687,       -1.29763154511
       76.7615211069,        -1.2971305431
       77.0981944451,        -1.2966295411
       77.4348677833,       -1.29612853909
       77.7715411215,       -1.29562753709
       78.1082144597,       -1.29512653509
       78.4448877979,       -1.29462553308
