------------------------------------------------------------
 solve vstep=0.1 nsteps=5 elect=1
------------------------------------------------------------
Position (um), Electric Field (V/cm)
       29.9639270988,       -14.8809527569
       30.3006004369,       -14.8809527569
       30.6372737751,       -14.8809527569
       30.9739471133,       -14.8809527569
       31.3106204515,       -14.8809527569
       31.6472937897,       -14.8809527569
       31.9839671279,       -14.8809527569
       32.3206404661,       -14.8809527569
       32.6573138043,       -14.8809527569
       32.9939871425,       -14.8809527569
       33.3306604806,       -14.8809527569
       33.6673338188,       -14.8809527569
        34.004007157,       -14.8809527569
       34.3406804952,       -14.8809527569
       34.6773538334,       -14.8809527569
       35.0140271716,       -14.8809527569
       35.3507005098,       -14.8809527569
        35.687373848,       -14.8809527569
       36.0240471861,       -14.8809527569
       36.3607205243,       -14.8809527569
       36.6973938625,       -14.8809527569
       37.0340672007,       -14.8809527569
       37.3707405389,       -14.8809527569
       37.7074138771,       -14.8809527569
       38.0440872153,       -14.8809527569
       38.3807605535,       -14.8809527569
       38.7174338917,       -14.8809527569
       39.0541072298,       -14.8809527569
        39.390780568,       -14.8809527569
       39.7274539062,       -14.8809527569
       40.0641272444,       -14.8809527569
       40.4008005826,       -14.8809527569
       40.7374739208,       -14.8809527569
        41.074147259,       -14.8809527569
       41.4108205972,       -14.8809527569
       41.7474939353,       -14.8809527569
       42.0841672735,       -14.8809527569
       42.4208406117,       -14.8809527569
       42.7575139499,       -14.8809527569
       43.0941872881,       -14.8809527569
       43.4308606263,       -14.8809527569
       43.7675339645,       -14.8809527569
       44.1042073027,       -14.8809527569
       44.4408806409,       -14.8809527569
        44.777553979,       -14.8809527569
       45.1142273172,       -14.8809527569
       45.4509006554,       -14.8809527569
       45.7875739936,       -14.8809527569
       46.1242473318,       -14.8809527569
         46.46092067,       -14.8809527569
       46.7975940082,       -14.8809527569
       47.1342673464,       -14.8809527569
       47.4709406846,       -14.8809527569
       47.8076140227,       -14.8809527569
       48.1442873609,       -14.8809527569
       48.4809606991,       -14.8809527569
       48.8176340373,       -14.8809527569
       49.1543073755,       -14.8809527569
       49.4909807137,       -14.8809527569
       49.8276540519,       -14.8809527569
       50.1643273901,       -14.8809527569
       50.5010007282,       -14.8809527569
       50.8376740664,       -14.8809527569
       51.1743474046,       -14.8809527569
       51.5110207428,       -14.8809527569
        51.847694081,       -14.8809527569
       52.1843674192,       -14.8809527569
       52.5210407574,       -14.8809527569
       52.8577140956,       -14.8809527569
       53.1943874338,       -14.8809527569
       53.5310607719,       -14.8809527569
       53.8677341101,       -14.8809527569
       54.2044074483,       -14.8809527569
       54.5410807865,       -14.8809527569
       54.8777541247,       -14.8809527569
       55.2144274629,       -14.8809527569
       55.5511008011,       -14.8809527569
       55.8877741393,       -14.8809527569
       56.2244474774,       -14.8809527569
       56.5611208156,       -14.8809527569
       56.8977941538,       -14.8809527569
        57.234467492,       -14.8809527569
       57.5711408302,       -14.8809527569
       57.9078141684,       -14.8809527569
       58.2444875066,       -14.8809527569
       58.5811608448,       -14.8809527569
        58.917834183,       -14.8809527569
       59.2545075211,       -14.8809527569
       59.5911808593,       -14.8809527569
       59.9278541975,       -14.8809527569
