------------------------------------------------------------
 solve vstep=0.1 nsteps=5 elect=1
------------------------------------------------------------
Position (um), Conduction Band Potential (eV)
       172.376749152,     -0.0348459739642
       172.713422491,     -0.0343449719602
       173.050095829,     -0.0338439699562
       173.386769167,     -0.0333429679522
       173.723442505,     -0.0328419659482
       174.060115843,     -0.0323409639442
       174.396789182,     -0.0318399619402
        174.73346252,     -0.0313389599361
       175.070135858,     -0.0308379579321
       175.406809196,     -0.0303369559281
       175.743482534,     -0.0298359539241
       176.080155872,     -0.0293349519201
       176.416829211,     -0.0288339499161
       176.753502549,     -0.0283329479121
       177.090175887,     -0.0278319459081
       177.426849225,     -0.0273309439041
       177.763522563,     -0.0268299419001
       178.100195902,     -0.0263289398961
        178.43686924,     -0.0258279378921
       178.773542578,      -0.025326935888
       179.110215916,      -0.024825933884
       179.446889254,       -0.02432493188
       179.783562593,      -0.023823929876
       180.120235931,      -0.023322927872
       180.456909269,      -0.022821925868
       180.793582607,      -0.022320923864
       181.130255945,       -0.02181992186
       181.466929283,      -0.021318919856
       181.803602622,      -0.020817917852
        182.14027596,      -0.020316915848
       182.476949298,      -0.019815913844
       182.813622636,       -0.01931491184
       183.150295974,     -0.0188139098359
       183.486969313,     -0.0183129078319
       183.823642651,     -0.0178119058279
       184.160315989,     -0.0173109038239
       184.496989327,     -0.0168099018199
       184.833662665,     -0.0163088998159
       185.170336004,     -0.0158078978119
       185.507009342,     -0.0153068958079
        185.84368268,     -0.0148058938039
       186.180356018,     -0.0143048917999
       186.517029356,     -0.0138038897959
       186.853702695,     -0.0133028877919
       187.190376033,     -0.0128018857878
       187.527049371,     -0.0123008837838
       187.863722709,     -0.0117998817798
       188.200396047,     -0.0112988797758
       188.537069385,     -0.0107978777718
       188.873742724,     -0.0102968757678
       189.210416062,     -0.0097958737638
         189.5470894,    -0.00929487175979
       189.883762738,    -0.00879386975578
       190.220436076,    -0.00829286775177
